,index,UTM_X,UTM_Y,Lithology,Dist_from_fault,Probability_Mineralization
0,0,399300,2765350,GARNETIFEROUS MICA SCHIST,11493.289356662524,1
1,1,399350,2765350,GARNETIFEROUS MICA SCHIST,11444.307489937402,1
2,2,399400,2765350,GARNETIFEROUS MICA SCHIST,11395.334466899276,1
3,3,399450,2765350,GARNETIFEROUS MICA SCHIST,11346.370402061088,1
4,4,399500,2765350,GARNETIFEROUS MICA SCHIST,11297.415411899889,1
5,5,399550,2765350,GARNETIFEROUS MICA SCHIST,11248.469614898659,1
6,6,399600,2765350,GARNETIFEROUS MICA SCHIST,11199.533131589176,1
7,7,399650,2765350,GARNETIFEROUS MICA SCHIST,11150.606084595982,1
8,8,399700,2765350,GARNETIFEROUS MICA SCHIST,11101.688598681472,1
9,9,399750,2765350,GARNETIFEROUS MICA SCHIST,11052.780800792147,1
10,10,399800,2765350,GARNETIFEROUS MICA SCHIST,11003.882820106035,1
11,11,399850,2765350,GARNETIFEROUS MICA SCHIST,10954.99478808137,1
12,12,399900,2765350,GARNETIFEROUS MICA SCHIST,10906.116838506512,1
13,13,399950,2765350,GARNETIFEROUS MICA SCHIST,10857.249107551164,1
14,14,400000,2765350,GARNETIFEROUS MICA SCHIST,10808.391733818951,1
15,15,400050,2765350,GARNETIFEROUS MICA SCHIST,10759.544858401357,1
16,16,400100,2765350,GARNETIFEROUS MICA SCHIST,10710.708624933102,1
17,17,400150,2765350,GARNETIFEROUS MICA SCHIST,10661.88317964897,1
18,18,400200,2765350,GARNETIFEROUS MICA SCHIST,10613.068671442152,1
19,19,400250,2765350,GARNETIFEROUS MICA SCHIST,10564.265251924156,1
20,20,400300,2765350,GARNETIFEROUS MICA SCHIST,10515.473075486305,1
21,21,400350,2765350,GARNETIFEROUS MICA SCHIST,10466.692299362903,1
22,22,400400,2765350,GARNETIFEROUS MICA SCHIST,10417.923083696096,1
23,23,400450,2765350,GARNETIFEROUS MICA SCHIST,10369.1655916025,1
24,24,400500,2765350,GARNETIFEROUS MICA SCHIST,10320.419989241644,1
25,25,400550,2765350,GARNETIFEROUS MICA SCHIST,10271.686445886273,1
26,26,400600,2765350,GARNETIFEROUS MICA SCHIST,10222.96513399459,1
27,27,400650,2765350,GARNETIFEROUS MICA SCHIST,10174.256229284492,1
28,28,400700,2765350,GARNETIFEROUS MICA SCHIST,10125.559910809849,1
29,29,400750,2765350,GARNETIFEROUS MICA SCHIST,10076.876361038912,1
30,30,400800,2765350,GARNETIFEROUS MICA SCHIST,10028.205765934907,1
31,31,399250,2765400,GARNETIFEROUS MICA SCHIST,11532.409203242361,1
32,32,399300,2765400,GARNETIFEROUS MICA SCHIST,11483.37649471158,1
33,33,399350,2765400,GARNETIFEROUS MICA SCHIST,11434.352163877045,1
34,34,399400,2765400,GARNETIFEROUS MICA SCHIST,11385.336318959793,1
35,35,399450,2765400,GARNETIFEROUS MICA SCHIST,11336.329070033658,1
36,36,399500,2765400,GARNETIFEROUS MICA SCHIST,11287.330529064677,1
37,37,399550,2765400,GARNETIFEROUS MICA SCHIST,11238.340809951473,1
